X, Y, Z, Dose
0, 0, 0, 0
0, 1, 0, 6.605946900606341e-10
0, 2, 0, 2.303586654761602e-09
0, 3, 0, 0
0, 4, 0, 0
0, 5, 0, 0
0, 6, 0, 0
0, 7, 0, 0
0, 8, 0, 3.544962545731778e-09
0, 9, 0, 1.200624599739797e-09
0, 10, 0, 0
0, 11, 0, 1.672608496150474e-09
0, 12, 0, 7.443876071100419e-10
0, 13, 0, 0
0, 14, 0, 3.264199577301952e-09
0, 15, 0, 1.274500061043682e-09
0, 16, 0, 0
0, 17, 0, 0
0, 18, 0, 2.615917038539806e-09
0, 19, 0, 6.449584422085763e-09
0, 20, 0, 0
0, 21, 0, 0
0, 22, 0, 0
0, 23, 0, 1.956250494927758e-09
0, 24, 0, 4.811060438925097e-09
0, 25, 0, 1.766281343407172e-09
0, 26, 0, 0
0, 27, 0, 5.106970402124489e-09
0, 28, 0, 0
0, 29, 0, 6.374831773570122e-10
0, 30, 0, 2.707458701678433e-10
0, 31, 0, 1.326247889288368e-09
0, 32, 0, 0
0, 33, 0, 0
0, 34, 0, 0
0, 35, 0, 1.507078351004054e-09
0, 36, 0, 5.831783944643121e-09
0, 37, 0, 1.30431010436638e-09
0, 38, 0, 2.524377373802622e-09
0, 39, 0, 0
0, 40, 0, 0
0, 41, 0, 7.504106780409359e-10
0, 42, 0, 1.478300770685337e-08
0, 43, 0, 3.993096520105155e-09
0, 44, 0, 1.80368231461614e-09
0, 45, 0, 1.997560561406431e-09
0, 46, 0, 1.897269008566127e-09
0, 47, 0, 1.572917796011097e-08
0, 48, 0, 7.717216199409904e-09
0, 49, 0, 4.105287221278786e-09
0, 50, 0, 1.518635994735007e-09
0, 51, 0, 6.689350739996769e-10
0, 52, 0, 0
0, 53, 0, 2.156802958452886e-09
0, 54, 0, 3.143593607646267e-09
0, 55, 0, 5.210815334777408e-09
0, 56, 0, 3.604780252075557e-09
0, 57, 0, 2.610680116532649e-09
0, 58, 0, 7.1487854524932e-10
0, 59, 0, 0
0, 60, 0, 1.561089146839834e-09
0, 61, 0, 0
0, 62, 0, 0
0, 63, 0, 0
0, 64, 0, 0
0, 65, 0, 0
0, 66, 0, 0
0, 67, 0, 1.072440802829533e-09
0, 68, 0, 0
0, 69, 0, 0
0, 70, 0, 0
0, 71, 0, 0
0, 72, 0, 0
0, 73, 0, 0
0, 74, 0, 0
0, 75, 0, 0
0, 76, 0, 0
0, 77, 0, 2.05784989049107e-09
0, 78, 0, 6.078701986211854e-10
0, 79, 0, 4.142321152755812e-09
0, 80, 0, 0
0, 81, 0, 3.25982041360362e-09
0, 82, 0, 7.236530930043727e-09
0, 83, 0, 3.809195181503355e-09
0, 84, 0, 1.30603283743369e-09
0, 85, 0, 2.910747864959262e-09
0, 86, 0, 6.406759567312292e-09
0, 87, 0, 0
0, 88, 0, 0
0, 89, 0, 0
0, 90, 0, 6.084567294450949e-10
0, 91, 0, 9.250797905480113e-10
0, 92, 0, 5.585490292503437e-09
0, 93, 0, 3.198147080496483e-09
0, 94, 0, 7.702141147092334e-09
0, 95, 0, 8.383233662812017e-09
0, 96, 0, 6.270620023229867e-09
0, 97, 0, 6.017445652872766e-09
0, 98, 0, 0
0, 99, 0, 0
0, 100, 0, 1.254508608106164e-09
0, 101, 0, 3.140111726196437e-09
0, 102, 0, 2.998346237959026e-09
0, 103, 0, 1.394898752060669e-09
0, 104, 0, 0
0, 105, 0, 0
0, 106, 0, 0
0, 107, 0, 0
0, 108, 0, 0
0, 109, 0, 1.618797762503732e-09
0, 110, 0, 9.113546722838706e-11
0, 111, 0, 9.656863086959788e-10
0, 112, 0, 0
0, 113, 0, 0
0, 114, 0, 0
0, 115, 0, 1.842507479921096e-09
0, 116, 0, 1.094887402963707e-09
0, 117, 0, 0
0, 118, 0, 0
0, 119, 0, 0
0, 120, 0, 0
0, 121, 0, 0
0, 122, 0, 0
0, 123, 0, 0
0, 124, 0, 0
0, 125, 0, 0
0, 126, 0, 3.796276182299607e-09
0, 127, 0, 1.242625113917484e-09
0, 128, 0, 7.521660627674009e-09
0, 129, 0, 1.954294281958369e-09
0, 130, 0, 1.152424156103393e-09
0, 131, 0, 6.265823415674276e-09
0, 132, 0, 0
0, 133, 0, 0
0, 134, 0, 1.736482957426233e-09
0, 135, 0, 1.810757876974378e-09
0, 136, 0, 0
0, 137, 0, 0
0, 138, 0, 0
0, 139, 0, 0
0, 140, 0, 3.228736444871316e-10
0, 141, 0, 0
0, 142, 0, 3.04461345024265e-09
0, 143, 0, 0
0, 144, 0, 0
0, 145, 0, 0
0, 146, 0, 0
0, 147, 0, 1.492001383551766e-10
0, 148, 0, 0
0, 149, 0, 0
0, 150, 0, 3.521039015907945e-09
0, 151, 0, 0
0, 152, 0, 0
0, 153, 0, 0
0, 154, 0, 0
0, 155, 0, 0
0, 156, 0, 0
0, 157, 0, 0
0, 158, 0, 7.105889210379246e-10
0, 159, 0, 2.205579940905977e-09
0, 160, 0, 2.250276409654361e-09
0, 161, 0, 1.227382306900893e-09
0, 162, 0, 0
0, 163, 0, 4.527265673459624e-09
0, 164, 0, 4.47045761520215e-10
0, 165, 0, 0
0, 166, 0, 0
0, 167, 0, 0
0, 168, 0, 1.827829443357132e-09
0, 169, 0, 8.688592956218599e-09
0, 170, 0, 6.035285604610863e-10
0, 171, 0, 0
